State,filter,Range,"B.1.1.7 Variant ","P.1 Variant ","B.1.351 Variant "
AL,Variant B.1.1.7,1 to 40,3,,
AK,Variant B.1.1.7,1 to 40,1,,
AS,Variant B.1.1.7,0 to 0,0,,
AZ,Variant B.1.1.7,1 to 40,3,,
AR,Variant B.1.1.7,0 to 0,0,,
CA,Variant B.1.1.7,81 to 120,113,,
CO,Variant B.1.1.7,1 to 40,11,,
CT,Variant B.1.1.7,1 to 40,8,,
DE,Variant B.1.1.7,1 to 40,3,,
FL,Variant B.1.1.7,121 to 160,147,,
GA,Variant B.1.1.7,1 to 40,18,,
GU,Variant B.1.1.7,0 to 0,0,,
HI,Variant B.1.1.7,0 to 0,0,,
ID,Variant B.1.1.7,0 to 0,0,,
IL,Variant B.1.1.7,1 to 40,9,,
IN,Variant B.1.1.7,1 to 40,6,,
IA,Variant B.1.1.7,0 to 0,0,,
KS,Variant B.1.1.7,0 to 0,0,,
KY,Variant B.1.1.7,1 to 40,2,,
LA,Variant B.1.1.7,1 to 40,3,,
ME,Variant B.1.1.7,0 to 0,0,,
MH,Variant B.1.1.7,0 to 0,0,,
MD,Variant B.1.1.7,1 to 40,8,,1
MA,Variant B.1.1.7,1 to 40,5,,
MI,Variant B.1.1.7,1 to 40,22,,
FM,Variant B.1.1.7,0 to 0,0,,
MN,Variant B.1.1.7,1 to 40,11,1,
MS,Variant B.1.1.7,0 to 0,0,,
MO,Variant B.1.1.7,0 to 0,0,,
MT,Variant B.1.1.7,0 to 0,0,,
NE,Variant B.1.1.7,0 to 0,0,,
NV,Variant B.1.1.7,1 to 40,1,,
NH,Variant B.1.1.7,0 to 0,0,,
NJ,Variant B.1.1.7,1 to 40,8,,
NM,Variant B.1.1.7,1 to 40,2,,
NY,Variant B.1.1.7,41 to 80,42,,
NC,Variant B.1.1.7,1 to 40,5,,
ND,Variant B.1.1.7,0 to 0,0,,
MP,Variant B.1.1.7,0 to 0,0,,
OH,Variant B.1.1.7,0 to 0,0,,
OK,Variant B.1.1.7,0 to 0,0,,
OR,Variant B.1.1.7,1 to 40,3,,
PW,Variant B.1.1.7,0 to 0,0,,
PA,Variant B.1.1.7,1 to 40,10,,
PR,Variant B.1.1.7,0 to 0,0,,
RI,Variant B.1.1.7,0 to 0,0,,
SC,Variant B.1.1.7,1 to 40,1,,2
SD,Variant B.1.1.7,0 to 0,0,,
TN,Variant B.1.1.7,1 to 40,2,,
TX,Variant B.1.1.7,1 to 40,7,,
UT,Variant B.1.1.7,1 to 40,1,,
VT,Variant B.1.1.7,0 to 0,0,,
VI,Variant B.1.1.7,0 to 0,0,,
VA,Variant B.1.1.7,1 to 40,2,,
WA,Variant B.1.1.7,1 to 40,4,,
WV,Variant B.1.1.7,0 to 0,0,,
WI,Variant B.1.1.7,1 to 40,1,,
WY,Variant B.1.1.7,1 to 40,5,,
,,,,,
