State,filter,Cases,Range,"B.1.1.7 Variant ","P.1 Variant ","B.1.351 Variant "
AL,Variant B.1.1.7,8,1 to 100,8,,
AK,Variant B.1.1.7,1,1 to 100,1,,
AS,Variant B.1.1.7,0,0 to 0,,,
AZ,Variant B.1.1.7,6,1 to 100,6,,
AR,Variant B.1.1.7,0,0 to 0,,,
CA,Variant B.1.1.7,195,101 to 200,195,,2
CO,Variant B.1.1.7,67,1 to 100,67,,
CT,Variant B.1.1.7,42,1 to 100,42,,1
District of Columbia,Variant B.1.1.7,3,1 to 100,3,,1
DE,Variant B.1.1.7,3,1 to 100,3,,
FL,Variant B.1.1.7,433,401 to 500,433,1,
GA,Variant B.1.1.7,79,1 to 100,79,,
GU,Variant B.1.1.7,0,0 to 0,,,
HI,Variant B.1.1.7,2,1 to 100,2,,
ID,Variant B.1.1.7,0,0 to 0,,,
IL,Variant B.1.1.7,43,1 to 100,43,,1
IN,Variant B.1.1.7,14,1 to 100,14,,
IA,Variant B.1.1.7,8,1 to 100,8,,
KS,Variant B.1.1.7,2,1 to 100,2,,
KY,Variant B.1.1.7,5,1 to 100,5,,
LA,Variant B.1.1.7,15,1 to 100,15,,
ME,Variant B.1.1.7,2,1 to 100,2,,
MH,Variant B.1.1.7,0,0 to 0,,,
MD,Variant B.1.1.7,47,1 to 100,47,1,8
MA,Variant B.1.1.7,44,1 to 100,44,,2
MI,Variant B.1.1.7,157,101 to 200,157,,
FM,Variant B.1.1.7,0,0 to 0,,,
MN,Variant B.1.1.7,18,1 to 100,18,2,
MS,Variant B.1.1.7,1,1 to 100,1,,
MO,Variant B.1.1.7,1,1 to 100,1,,
MT,Variant B.1.1.7,0,0 to 0,,,
NE,Variant B.1.1.7,0,0 to 0,,,
NV,Variant B.1.1.7,6,1 to 100,6,,
NH,Variant B.1.1.7,1,1 to 100,1,,
NJ,Variant B.1.1.7,50,1 to 100,50,,
NM,Variant B.1.1.7,2,1 to 100,2,,
NY,Variant B.1.1.7,70,1 to 100,70,,
NC,Variant B.1.1.7,37,1 to 100,37,,1
ND,Variant B.1.1.7,0,0 to 0,,,
MP,Variant B.1.1.7,0,0 to 0,,,
OH,Variant B.1.1.7,6,1 to 100,6,,
OK,Variant B.1.1.7,0,0 to 0,,1,
OR,Variant B.1.1.7,4,1 to 100,4,,
PW,Variant B.1.1.7,0,0 to 0,,,
PA,Variant B.1.1.7,30,1 to 100,30,,
PR,Variant B.1.1.7,0,0 to 0,,,
RI,Variant B.1.1.7,3,1 to 100,3,,
SC,Variant B.1.1.7,1,1 to 100,1,,2
SD,Variant B.1.1.7,0,0 to 0,,,
TN,Variant B.1.1.7,5,1 to 100,5,,
TX,Variant B.1.1.7,60,1 to 100,60,,1
UT,Variant B.1.1.7,12,1 to 100,12,,
VT,Variant B.1.1.7,0,0 to 0,,,
VI,Variant B.1.1.7,0,0 to 0,,,
VA,Variant B.1.1.7,11,1 to 100,11,,2
WA,Variant B.1.1.7,19,1 to 100,19,,
WV,Variant B.1.1.7,0,0 to 0,,,
WI,Variant B.1.1.7,5,1 to 100,5,,
WY,Variant B.1.1.7,5,1 to 100,5,,
