state,b117,p1,b1351,date
AK,0,0,0,2021-01-06
AL,0,0,0,2021-01-06
AR,0,0,0,2021-01-06
AS,0,0,0,2021-01-06
AZ,0,0,0,2021-01-06
CA,32,0,0,2021-01-06
CO,3,0,0,2021-01-06
CT,2,0,0,2021-01-06
DE,0,0,0,2021-01-06
FL,22,0,0,2021-01-06
FM,0,0,0,2021-01-06
GA,1,0,0,2021-01-06
GU,0,0,0,2021-01-06
HI,0,0,0,2021-01-06
IA,0,0,0,2021-01-06
ID,0,0,0,2021-01-06
IL,0,0,0,2021-01-06
IN,0,0,0,2021-01-06
KS,0,0,0,2021-01-06
KY,0,0,0,2021-01-06
LA,0,0,0,2021-01-06
MA,0,0,0,2021-01-06
MD,0,0,0,2021-01-06
ME,0,0,0,2021-01-06
MH,0,0,0,2021-01-06
MI,0,0,0,2021-01-06
MN,0,0,0,2021-01-06
MO,0,0,0,2021-01-06
MP,0,0,0,2021-01-06
MS,0,0,0,2021-01-06
MT,0,0,0,2021-01-06
NC,0,0,0,2021-01-06
ND,0,0,0,2021-01-06
NE,0,0,0,2021-01-06
NH,0,0,0,2021-01-06
NJ,0,0,0,2021-01-06
NM,0,0,0,2021-01-06
NV,0,0,0,2021-01-06
NY,1,0,0,2021-01-06
OH,0,0,0,2021-01-06
OK,0,0,0,2021-01-06
OR,0,0,0,2021-01-06
PA,1,0,0,2021-01-06
PR,0,0,0,2021-01-06
PW,0,0,0,2021-01-06
RI,0,0,0,2021-01-06
SC,0,0,0,2021-01-06
SD,0,0,0,2021-01-06
TN,0,0,0,2021-01-06
TX,1,0,0,2021-01-06
UT,0,0,0,2021-01-06
VA,0,0,0,2021-01-06
VI,0,0,0,2021-01-06
VT,0,0,0,2021-01-06
WA,0,0,0,2021-01-06
WI,0,0,0,2021-01-06
WV,0,0,0,2021-01-06
WY,0,0,0,2021-01-06
AK,0,0,0,2021-01-11
AL,0,0,0,2021-01-11
AR,0,0,0,2021-01-11
AS,0,0,0,2021-01-11
AZ,0,0,0,2021-01-11
CA,32,0,0,2021-01-11
CO,3,0,0,2021-01-11
CT,2,0,0,2021-01-11
DE,0,0,0,2021-01-11
FL,22,0,0,2021-01-11
FM,0,0,0,2021-01-11
GA,1,0,0,2021-01-11
GU,0,0,0,2021-01-11
HI,0,0,0,2021-01-11
IA,0,0,0,2021-01-11
ID,0,0,0,2021-01-11
IL,0,0,0,2021-01-11
IN,1,0,0,2021-01-11
