state,cases,date
AL,0,2021-01-11
AK,0,2021-01-11
AS,0,2021-01-11
AZ,0,2021-01-11
AR,0,2021-01-11
CA,32,2021-01-11
CO,3,2021-01-11
CT,2,2021-01-11
DE,0,2021-01-11
FL,22,2021-01-11
GA,1,2021-01-11
GU,0,2021-01-11
HI,0,2021-01-11
ID,0,2021-01-11
IL,0,2021-01-11
IN,1,2021-01-11
IA,0,2021-01-11
KS,0,2021-01-11
KY,0,2021-01-11
LA,0,2021-01-11
ME,0,2021-01-11
MH,0,2021-01-11
MD,0,2021-01-11
MA,0,2021-01-11
MI,0,2021-01-11
FM,0,2021-01-11
MN,5,2021-01-11
MS,0,2021-01-11
MO,0,2021-01-11
MT,0,2021-01-11
NE,0,2021-01-11
NV,0,2021-01-11
NH,0,2021-01-11
NJ,0,2021-01-11
NM,0,2021-01-11
NY,4,2021-01-11
NC,0,2021-01-11
ND,0,2021-01-11
MP,0,2021-01-11
OH,0,2021-01-11
OK,0,2021-01-11
OR,0,2021-01-11
PW,0,2021-01-11
PA,1,2021-01-11
PR,0,2021-01-11
RI,0,2021-01-11
SC,0,2021-01-11
SD,0,2021-01-11
TN,0,2021-01-11
TX,1,2021-01-11
UT,0,2021-01-11
VT,0,2021-01-11
VI,0,2021-01-11
VA,0,2021-01-11
WA,0,2021-01-11
WV,0,2021-01-11
WI,0,2021-01-11
WY,0,2021-01-11
AL,0,2021-01-13
AK,0,2021-01-13
AS,0,2021-01-13
AZ,0,2021-01-13
AR,0,2021-01-13
CA,32,2021-01-13
CO,4,2021-01-13
CT,2,2021-01-13
DE,0,2021-01-13
FL,22,2021-01-13
GA,1,2021-01-13
GU,0,2021-01-13
HI,0,2021-01-13
ID,0,2021-01-13
IL,0,2021-01-13
IN,1,2021-01-13
IA,0,2021-01-13
KS,0,2021-01-13
KY,0,2021-01-13
LA,0,2021-01-13
ME,0,2021-01-13
MH,0,2021-01-13
MD,2,2021-01-13
MA,0,2021-01-13
MI,0,2021-01-13
FM,0,2021-01-13
MN,5,2021-01-13
